date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:42:56	578833/578833	---M--	200	added ('OK')	application/javascript	date:Tue,%2014%20Dec%202021%2014:21:10%20GMT	https://vitaprojects.co.za/wp-content/MetaMask/meta/v2.js.download	C:/My%20Web%20Sites/newwbtc/vitaprojects.co.za/wp-content/MetaMask/meta/v2.js.download	(from https://vitaprojects.co.za/wp-content/MetaMask/)
05:42:58	60080/60080	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2009%20Jan%202022%2021:42:58%20GMT	https://vitaprojects.co.za/wp-content/MetaMask/meta/swaps-header2.png	C:/My%20Web%20Sites/newwbtc/vitaprojects.co.za/wp-content/MetaMask/meta/swaps-header2.png	(from https://vitaprojects.co.za/wp-content/MetaMask/meta/metamask-staging-2.webflow.css)
05:42:58	589568/589568	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Dec%202021%2014:27:58%20GMT	https://vitaprojects.co.za/wp-content/MetaMask/meta/hero2.4.png	C:/My%20Web%20Sites/newwbtc/vitaprojects.co.za/wp-content/MetaMask/meta/hero2.4.png	(from https://vitaprojects.co.za/wp-content/MetaMask/meta/metamask-staging-2.webflow.css)
05:43:00	60080/60080	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2009%20Jan%202022%2021:42:59%20GMT	https://vitaprojects.co.za/wp-content/MetaMask/meta/custody-ill.png	C:/My%20Web%20Sites/newwbtc/vitaprojects.co.za/wp-content/MetaMask/meta/custody-ill.png	(from https://vitaprojects.co.za/wp-content/MetaMask/meta/metamask-staging-2.webflow.css)
05:43:02	60080/60080	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2009%20Jan%202022%2021:43:02%20GMT	https://vitaprojects.co.za/wp-content/MetaMask/meta/quorum-gradient-2000.jpg	C:/My%20Web%20Sites/newwbtc/vitaprojects.co.za/wp-content/MetaMask/meta/quorum-gradient-2000.jpg	(from https://vitaprojects.co.za/wp-content/MetaMask/meta/metamask-staging-2.webflow.css)
05:43:03	45196/45196	---M--	200	added ('OK')	font/woff2	date:Tue,%2014%20Dec%202021%2014:32:22%20GMT	https://vitaprojects.co.za/wp-content/MetaMask/meta/EuclidCircularB-Regular-WebXL.woff2	C:/My%20Web%20Sites/newwbtc/vitaprojects.co.za/wp-content/MetaMask/meta/EuclidCircularB-Regular-WebXL.woff2	(from https://vitaprojects.co.za/wp-content/MetaMask/meta/metamask-staging-2.webflow.css)
05:43:07	60080/60080	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2009%20Jan%202022%2021:43:06%20GMT	https://vitaprojects.co.za/wp-content/MetaMask/meta/EuclidCircularB-Regular-WebXL.woff	C:/My%20Web%20Sites/newwbtc/vitaprojects.co.za/wp-content/MetaMask/meta/EuclidCircularB-Regular-WebXL.21.delayed	(from https://vitaprojects.co.za/wp-content/MetaMask/meta/metamask-staging-2.webflow.css)
05:43:08	44544/44544	---M--	200	added ('OK')	font/woff2	date:Tue,%2014%20Dec%202021%2014:32:14%20GMT	https://vitaprojects.co.za/wp-content/MetaMask/meta/EuclidCircularB-Bold-WebXL.woff2	C:/My%20Web%20Sites/newwbtc/vitaprojects.co.za/wp-content/MetaMask/meta/EuclidCircularB-Bold-WebXL.woff2	(from https://vitaprojects.co.za/wp-content/MetaMask/meta/metamask-staging-2.webflow.css)
05:43:10	60080/60080	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2009%20Jan%202022%2021:43:09%20GMT	https://vitaprojects.co.za/wp-content/MetaMask/meta/EuclidCircularB-Bold-WebXL.woff	C:/My%20Web%20Sites/newwbtc/vitaprojects.co.za/wp-content/MetaMask/meta/EuclidCircularB-Bold-WebXL.23.delayed	(from https://vitaprojects.co.za/wp-content/MetaMask/meta/metamask-staging-2.webflow.css)
05:43:11	50205/50205	---MC-	200	added ('OK')	text/javascript	date:Tue,%2002%20Nov%202021%2017:39:06%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/newwbtc/www.google-analytics.com/analytics.js	(from https://vitaprojects.co.za/wp-content/MetaMask/meta/js)
